"","user","text","n"
"15","ABC","NEW: NTSB team to investigate fatal crash involving self-driving Uber vehicle; Uber has suspended its self-driving operations in San Francisco, Pittsburgh, Phoenix and Toronto in wake of the crash. http://abcn.ws/2pos176<U+00A0>pic.twitter.com/5g18K08rV4",1
"16","abc15",". @TempePolice says self-driving @Uber car was in autonomous mode when it was involved in a deadly crash overnight. Woman was walking outside of crosswalk: http://bit.ly/2FN9i0c<U+00A0> #abc15pic.twitter.com/nsoX11twvH",1
"17","abc15","ONLY ON #ABC15: @TempePolice investigating after self-driving Uber car involved in crash overnight: http://bit.ly/2FN9i0c<U+00A0>pic.twitter.com/QkXODQX7hb",1
"18","ABC7","#BREAKING: 1 of Uber's self-driving vehicles hits, kills pedestrian in Arizona http://abc7.la/2ptIUhN<U+00A0>pic.twitter.com/bdXZalAhAl",1
"19","abcsydney","First look inside Sydney's new driverless trains http://ab.co/2FNQ9uM<U+00A0> Pic: NSW Governmentpic.twitter.com/KXazDvI1jf",1
"20","ABCWorldNews","NEW: NTSB team to investigate fatal crash involving self-driving Uber vehicle; Uber has suspended its self-driving operations in San Francisco, Pittsburgh, Phoenix and Toronto in wake of the crash. http://abcn.ws/2pos176<U+00A0>pic.twitter.com/m9DKtCp0MR",1
"21","adage","Driverless Uber hits and kills woman in Arizona, company pauses autonomous car tests http://bit.ly/2pnT5TS<U+00A0>pic.twitter.com/qWYzlc0cs9",1
"22","adamsconsulting","4 Types of AI Large #Infographic - http://bit.ly/2pmXBlO<U+00A0> 1 Purely Reactive (Most Basic #AI) 2 Limited Memory (Self-Driving Cars, Chatbots) 3 Theory of Mind (C-3PO, R2-D2) 4 Self-Aware (Super Intelligent, Sentient, Conscious) MT @futurism @ipfconline1 #MachineLearning #Roboticspic.twitter.com/nmwPd2lu5D",1
"23","Adweek","Uber suspends self-driving tests after autonomous car kills pedestrian: http://adweek.it/2DFyJdY<U+00A0>pic.twitter.com/MHcYPQccGR",1
"24","AJENews","A woman died of her injuries after being struck by a Uber self-driving vehicle in Arizona http://aje.io/8m7b4<U+00A0>pic.twitter.com/r5eYfXk4Id",1
"25","AJEnglish","Woman hit by Uber self-driving car dies in US http://aje.io/6c82s<U+00A0>pic.twitter.com/pI79N1wj8d",1
"26","ajplus","A woman was killed after being hit by a self-driving Uber car in Tempe, Arizona while crossing the street. It<U+0092>s the first confirmed pedestrian death from a self-driving vehicle. Uber says it's suspended testing of self-driving cars in cities across the U.S. pic.twitter.com/a3jvvIZwo7",1
"27","alan_winfield","Tragic confirmation that driverless car technology is far from ready: Self-driving Uber kills Arizona woman in first fatal crash involving pedestrian https://www.theguardian.com/technology/2018/mar/19/uber-self-driving-car-kills-woman-arizona-tempe<U+00A0><U+0085> cc @Jackstilgoe @JFBonnefon",1
"28","Alex_Verbeek","Self-Driving Uber Car Kills Arizona Pedestrian Next month California will start allowing companies to test autonomous vehicles without anyone behind the wheel. http://ow.ly/7OAF30j2mT1<U+00A0> #technology #innovation #transport #future #California #carspic.twitter.com/GoV0aO6vDg",1
"29","AlexaDelbosc","How is it legal to allow a self-driving vehicle to speed? https://www.sfchronicle.com/business/article/Exclusive-Tempe-police-chief-says-early-probe-12765481.php<U+00A0><U+0085>",1
"30","AlexSteffen","The Uber autonomous car killing of a woman who was walking is why I believe the future of cars is slow, especially when they're automated. Slow cars are vastly safer when their (human/machine) drivers do hit someone. https://thenearlynow.com/the-future-of-cars-is-slow-96b207f8e394<U+00A0><U+0085>",1
"31","aliasvaughn","Who the hell thinks self-driving cars are a good idea??? The only good use they have is if they helped disabled people. And since it's an Uber, CLEARLY this is not the purpose. https://twitter.com/nytimes/status/975777758025535494<U+00A0><U+0085>",1
"32","Alisand3","Self Driving Car... nah I<U+0092>m good. #UberKills #Ubercontrolnow",1
"33","ALL_CAPS","*self-driving car kills pedestrian* <U+0093>OMG - this is an unacceptable danger! SHUT IT DOWN!<U+0094> *driver kills pedestrian* <U+0093>Well, sometimes that happens so we can shorten commute times. Nothing we can do about it. And why wasn<U+0092>t the pedestrian wearing a safety vest?<U+0094>",1
"34","amir","We don't know details of the Uber self-driving car fatality but I'd bet incidents like this can & likely will happen to any of the systems being tested in the wild, esp. as fleets get bigger. What kind of sacrifice do we deem acceptable in effort to eliminate fatalities?",1
"35","andersem","If you're OK w/ self-driving cars that don't stop for ""jaywalkers"" then you're OK w/ self-driving cars that don't stop for kids & pets who don't know the law https://twitter.com/tsrandall/status/975787923240030210<U+00A0><U+0085>",1
"36","anildash","The first death of a pedestrian killed by an autonomous vehicle. Tragic, and a milestone. https://twitter.com/daiwaka/status/975771533745336320<U+00A0><U+0085>",1
"37","anthonyfoxx","There is still so much to know about the Tempe driverless car accident resulting in a loss of life. That said, this is a wake up call to the entire AV industry and government to put a high priority on safety. #Uber",1
"38","AntonioCasilli","So this happened: Uber ""driverless"" car kills pedestrian. https://www.nytimes.com/2018/03/19/technology/uber-driverless-fatality.html<U+00A0><U+0085> 1/not really driverless (""a human safety driver was at the wheel when the car struck the woman"") 2/who's responsible: Uber? the driver? the pedestrian? the micro-workers who trained the Nvidia AI?",1
"39","AP","BREAKING: One of Uber's self-driving vehicles struck and killed a pedestrian, police in Tempe, Arizona, say. http://apne.ws/mRRqXpC<U+00A0>",1
"40","APBusiness","A pedestrian who was struck and killed by a self-driving Uber vehicle has been identified as 49-year-old Elaine Herzberg. http://apne.ws/EoboZci<U+00A0>",1
"41","APompliano","One of Uber<U+0092>s self-driving cars recently hit a female pedestrian and she has died. Uber is pulling all self-driving cars from roads while it is investigated but this should further the <U+0093>robots and AI aren<U+0092>t good developments<U+0094> crowd.",1
"42","APWestRegion","BREAKING: Uber says it has suspended self-driving operations in Phoenix and other cities after car kills pedestrian.",1
"43","APWestRegion","Uber puts self-driving testing on hold in four cities after a car kills a pedestrian in Arizona. It's likely the first such fatality. http://apne.ws/ajzvKZ2<U+00A0>",1
"44","AsteadWesley","When a self-driving car owned and operated by a private company kills someone, who's held responsible? https://twitter.com/faizsays/status/975783215658041345<U+00A0><U+0085>",1
"45","asymmetricinfo","We had so many auto fatalities because people drove 3.2 *trillion* road miles in 2016. How many road-miles have autonomous cars driven? More or less than 100 million?",1
"46","Atrios","I'm not one who thinks safety is the primary concern with self-driving cars but it is the case that the things are going to be able to commit murder without consequence",1
"47","audiotreemusic","put me down as a no for self-driving cars, thanks",1
"48","austeane","As you hear a ton about this, remember that people die *all the time* from non-autonomous vehicles. The deaths per mile are already much lower for autonomous vehicles (nowhere near their safety peak) than non-autonomous vehicles (relatively close to their safety peak).",1
"49","axios","A pedestrian was killed by a self-driving Uber in Arizona today. https://www.axios.com/uber-self-driving-car-crash-fatality-death-arizona-45c1d503-9468-4abe-a9ce-bf7e2dc118e9.html?utm_source=twitter&utm_medium=social&utm_campaign=organic&utm_content=1100&utm_term=technology<U+00A0><U+0085>",1
"50","axios","Following the self-driving death in Arizona, Uber has paused autonomous car operations in all locations. https://www.axios.com/uber-self-driving-car-crash-fatality-death-arizona-45c1d503-9468-4abe-a9ce-bf7e2dc118e9.html?utm_source=twitter&utm_medium=social&utm_campaign=organic&utm_content=1100&utm_term=technology<U+00A0><U+0085>",1
"51","axios","NEW: Following the death in Arizona today, the head of Carnegie Mellon's leading self-driving lab has urged companies to freeze the race for autonomous vehicles because ""clearly the technology is not where it needs to be"" https://www.axios.com/self-driving-lab-head-urges-freeze-after-nightmare-fatality-3a0af4d5-fc06-46d0-b6af-007d63dfe67d.html?utm_source=twitter&utm_medium=social&utm_campaign=organic&utm_content=1100&utm_term=technology<U+00A0><U+0085>",1
"52","azcentral","#BREAKING Self-driving Uber strikes, kills woman crossing road in Tempe http://azc.cc/2tXszqg<U+00A0>",1
"53","BalestraPatrick","There are nearly 1.3 million deaths every year in the car industry and people call a defining moment the first crash of an autonomous car? pic.twitter.com/RVmpFPdDEM",1
"54","bennydiego","One person killed by a self-driving car and @Uber has enough sense to stop. Hundreds of children murdered by guns per year and gun manufacturers have no problem with that.https://twitter.com/bennydiego/status/975790606604673024<U+00A0><U+0085>",1
"55","BenRossTransit","US has 1 traffic fatality per 85 million miles driven. Uber's self-driving cars have driven ~3 million miles & killed one person",1
"56","BerinSzoka","If you think we need to ban self-driving cars because of ONE death... I can only imagine how you must feel about the 110 Americans who die on the road every day",1
"57","BertrandDuflos","General Motors: Autonomous Vehicle Production Begins Next Year http://www.thedrive.com/news/19331/general-motors-autonomous-vehicle-production-begins-next-year<U+00A0><U+0085>",1
"58","BikePortland","If you're surprised that a self-driving Uber killed someone, you haven't been paying attention. Now watch how car culture and the AV lobby works to minimize this and direct our outrage elsewhere.",1
"59","biker4marriage","Ban self-driving cars! Unintended assault weapon. #Uber #assault #Death #pleasestophttps://www.12news.com/article/news/local/valley/police-uber-self-driving-vehicle-struck-killed-pedestrian-in-tempe/75-529870710<U+00A0><U+0085>",1
"60","BIKESydney","Driverless car kills pedestrian. Still, we talk about whether she was ""in the crosswalk"". We need to shift responsibility from the at-risk to the SOURCE of the risk @TransportforNSW (Driverless RMS) https://www.theguardian.com/technology/2018/mar/19/uber-self-driving-car-kills-woman-arizona-tempe?CMP=fb_us<U+00A0><U+0085>",1
"61","billboard","Why Spotify thinks its ""self-driving music"" strategy will benefit creators http://blbrd.cm/QCyOlM<U+00A0>pic.twitter.com/uylnCa9MVi",1
"62","billboardbiz","Why Spotify Thinks Its 'Self-Driving Music' Strategy Will Benefit Creators http://blbrd.cm/VHc7dK<U+00A0>",1
"63","blainecapatch","that self-driving car was probably texting",1
"64","bluelivesmtr","Self-Driving Uber SUV Kills Woman In Tempe #BlueLivesMatter #BackTheBlue #Uber Full Story: https://buff.ly/2FLqlzE<U+00A0>pic.twitter.com/PPFxIvTOXZ",1
"65","bobbyllew","Having amazing day at @wmgwarwick learning about battery tech, autonomous vehicles and an impressive array of EVs. pic.twitter.com/gNbdwReQ4q",1
"66","bopinion","Driverless cars need rules like airlines https://bloom.bg/2IDqMd6<U+00A0>pic.twitter.com/EAoMNTt3mi",1
"67","BrentToderian","BREAKING: The first known death of a pedestrian struck by an #autonomousvehicle on a public road. An Arizona woman is dead after being hit by a #driverlesscar operated by Uber. What will it mean for liability & <U+0093>hands off<U+0094> govt regulation? Via @nytimeshttps://www.nytimes.com/2018/03/19/technology/uber-driverless-fatality.html<U+00A0><U+0085>",1
"68","BriannaWu","Uber's self-driving car kills an Arizona woman trying to cross the street. They say they are ""cooperating with authorities."" Given Uber's past of deceiving regulators, stealing competitor's code bases, and disregard for the law, I do not believe them. https://www.nytimes.com/2018/03/19/technology/uber-driverless-fatality.html?mtrref=t.co<U+00A0><U+0085>",1
"69","BrooklynSpoke","This seems like a straw man. Lots of urbanists would love to see more AVs. It<U+0092>s just that we want autonomous vehicles to be designed to fit in cities instead of cities being designed to fit autonomous vehicles. https://twitter.com/drvox/status/975833671293808640<U+00A0><U+0085>",1
"70","BuckSexton","Seems this will always be a major problem with autonomous vehicles: Human error makes the individual liable Computer error makes the company liable https://twitter.com/ajplus/status/975781168317571072<U+00A0><U+0085>",1
"71","business","""Fast and Furious"" driverless cars aren't as crazy as they sound https://bloom.bg/2IBHE3J<U+00A0>pic.twitter.com/q89Vme5pie",1
"72","business","Driverless cars have a cosmic weakness https://bloom.bg/2pnNA7P<U+00A0>pic.twitter.com/Rpq3dsfOQE",1
"73","business","The Uber crash is the nightmare the driverless world feared but also expected https://bloom.bg/2IEKwx6<U+00A0>pic.twitter.com/pNmbHkdUYH",1
"74","businessinsider","A self-driving Uber car has hit and killed a woman in what may be the first autonomous vehicle death http://read.bi/2DFvsve<U+00A0>pic.twitter.com/y59BLohoRy",1
"75","businessinsider","Self-driving cars could face a 'huge setback' after the tragic death of a woman struck by an autonomous Uber http://read.bi/2FMsds3<U+00A0>pic.twitter.com/ZxlAClYBTr",1
"76","businessinsider","This fully autonomous car offers a new way of hailing a cab pic.twitter.com/TG7B0ZS32X",1
"77","businessinsider","Watch this self-driving floor-cleaner conquer a supermarket pic.twitter.com/qXdVE4MpdE",1
"78","businessinsider","Watch this self-driving floor-cleaner conquer a supermarket pic.twitter.com/tb2moCAJqX",1
"79","BuzzFeedNews","Uber is halting its self-driving operations across the US after a woman was struck and killed by an autonomous Uber vehicle in Arizona https://www.buzzfeed.com/carolineodonovan/uber-autonomous-vehicle-killed-pedestrian?bftwnews&utm_term=4ldqpgc#4ldqpgc<U+00A0><U+0085>",1
"80","byanwong","With all due respect. What percentage of cars on the road are self driving? A tiny fraction of one 1% and they already chalked up one death. You make it sound like a sure thing that deaths will no longer take place. That<U+0092>s a mistake. This technology should be public domain.",1
"81","CARandDRIVER","After being involved in a fatal crash, @Uber has temporarily stopped testing of all its self-driving vehicles across North America: http://crdrv.co/UqIUPHz<U+00A0>pic.twitter.com/9o5lDntwYd",1
"82","carltonreid","Uber suspends self-driving car testing in US after cyclist Elaine Hertzberg is killed. http://news.sky.com/story/uber-suspends-self-driving-car-testing-after-cyclist-is-killed-11297320<U+00A0><U+0085>pic.twitter.com/APpZ6LMY7C",1
"83","CBCNews","BREAKING: This could be the first known pedestrian death involving a self-driving vehicle, according to a report. http://www.cbc.ca/1.4582706<U+00A0>",1
"84","CBSNews","California's first driverless buses started running this month in San Ramon, near San Francisco. The electric shuttles can carry 12 people, six sitting, and six standing. @CBSThisMorning takes you on board:pic.twitter.com/WQ8gkXZ2Gh",1
"85","CBSNews","One of Uber's self-driving vehicles in Arizona strikes, kills a pedestrian overnight, police say http://cbsn.ws/2pmv0Oe<U+00A0>pic.twitter.com/IdvLtoscf6",1
"86","CBSNews","Uber has suspended its testing of driverless cars in wake of a deadly accident, yet this month, California's first driverless buses started rolling on the streets of San Ramon http://cbsn.ws/2DFCWhM<U+00A0>pic.twitter.com/8ZMEFZJxq7",1
"87","CBSNews","Uber today put the brakes on all road testing of its self-driving cars after a deadly collision. A pedestrian in Tempe, Arizona, was killed last night by a self-driving Uber taxi. @krisvancleave has more. http://cbsn.ws/2GIGT8A<U+00A0>pic.twitter.com/SltEaqZFP2",1
"88","channelstv","Self-Driving Car Kills Pedestrian. http://bit.ly/2FM2Eaf<U+00A0>pic.twitter.com/TQeV1qwbY7",1
"89","charlesarthur","We all said <U+0093>what will happen when the first self-driving car kills someone?<U+0094> Now find out: self-driving Uber kills woman pedestrian in Arizona https://www.theguardian.com/technology/2018/mar/19/uber-self-driving-car-kills-woman-arizona-tempe<U+00A0><U+0085>",1
"90","chelseahandler","How are we supposed to protect our grid for driverless cars when we can<U+0092>t protect any of our networks from Russia? They could wreak havoc on our freeways killing thousands. Why do we need this? https://twitter.com/pewresearch/status/975858958979170305<U+00A0><U+0085>",1
"91","cheriehu42","my latest @billboard: my main takeaways from @Spotify's Investor Day, with a focus on their argument that ""self-driving music"" will help both the company and the wider music industry >> https://www.billboard.com/articles/business/8249695/why-spotify-thinks-self-driving-music-strategy-will-benefit-creators<U+00A0><U+0085>",1
"92","CHIZMAGA","So an UBER self driving car ran over and killed a Pedestrian in Phoenix last night... Silicon Valley are such geniuses. They<U+0092>re going to be sued to high heaven!",1
"93","christianwolmar","More on Driverless car death. It will be a game changer and slow or halt this crazy rush to a technology no one asked for. Uber halts self-driving car tests after death - http://www.bbc.co.uk/news/business-43459156<U+00A0><U+0085>",1
"94","CityLab","A self-driving car has killed a pedestrian. Now what? https://trib.al/IV3pqgO<U+00A0>pic.twitter.com/TRhIRlGBoI",1
"95","ClickHole","Almost There? All The Self-Driving Cars Have Been Congregating In The Desert http://clckhl.co/nsLLI1k<U+00A0> pic.twitter.com/7xFEMxrFwj",1
"96","CNBC","Tesla, Amazon, Apple, Waymo, GM, Ford... who is leading the self-driving car race? http://cnb.cx/2FyYMFz<U+00A0>pic.twitter.com/zB1cchJkkI",1
"97","CNBC","Uber is temporarily halting self-driving car tests in all locations after a deadly accident. http://cnb.cx/2ppTpSm<U+00A0>",1
"98","CNET","If tech companies and automakers aren't careful, haste could shelve the entire autonomous car program for years. http://cnet.co/2pqXUg0<U+00A0>",1
"99","CNET","More details are coming out of the Uber self-driving car fatality. @darakerr's story on what happened last night: https://www.cnet.com/roadshow/news/uber-autonomous-car-crash-arizona-tempe/<U+00A0><U+0085>https://twitter.com/darakerr/status/975860621567655936<U+00A0><U+0085>",1
"100","CNET","Uber<U+0092>s self-driving car involved in a fatality which is the first known death with an autonomous vehicle pic.twitter.com/zsUSaQutQX",1
"101","CNET","Uber<U+0092>s self-driving car involved in fatality, first known death with an autonomous vehicle http://cnet.co/2pl6gGb<U+00A0>",1
"102","CNN","JUST IN: Uber has removed its self-driving cars from the road after a self-driving Uber SUV struck and killed a pedestrian in Tempe, Arizona, on Sunday night, according to police. A driver was behind the wheel at the time, police said http://cnn.it/2u5TSym<U+00A0>pic.twitter.com/P8aauuLEd3",1
"103","CNN","Uber has removed its self-driving cars from the road after a self-driving Uber SUV struck and killed a pedestrian in Tempe, Arizona, police say. A driver was behind the wheel at the time, according to authorities. http://cnn.it/2FMmnql<U+00A0>pic.twitter.com/Qo4KIrmk6k",1
"104","cnnbrk","Uber removes its self-driving cars from the roads after what is thought to be the first fatality involving a fully autonomous car http://cnnmon.ie/2GIUOvz<U+00A0>pic.twitter.com/YgD2g1QsOh",1
"105","CNNBusiness","Uber has removed its self-driving cars from the roads following what is believed to be the first fatality involving a fully autonomous car http://cnnmon.ie/2FSQzMI<U+00A0>pic.twitter.com/JqyJcxTOu7",1
"106","Complex","A self-driving Uber hit and killed a woman in Arizona: https://trib.al/7Qh2eiH<U+00A0>pic.twitter.com/GVKqiKB7Gy",1
"107","contourcorsets","Driverless cars are now! I find myself behind driverless cars every day in Philly. They drive at 5mph and swerve all over... they refuse to go whenever the light turns green... they turn erratically without signalling... Just a phone at the wheel - No driver at all! #Ihate2018",1
"108","contourcorsets","Uber just announced it is cancelling its self-driving car program after a pedestrian was killed. So, I have to ask - When a machine kills people, who goes to jail? We're going to be hitting this one a lot in the future. Corporations don't do jail time.",1
"109","cooper_m","Sad for the victim but let<U+0092>s not have calls for bans on self driving cars as kneejerk reaction. Not as if all human drivers are flawless, is it? https://twitter.com/reutersbiz/status/975791242473889792<U+00A0><U+0085>",1
"110","CovfefeGrunt","Uber Self-Driving Car Hits and Kills Pedestrian in Arizona https://sputniknews.com/us/201803191062702335-uber-self-driving-hits-kills-woman-in-arizona/<U+00A0><U+0085>",1
"111","CP24","Uber halts testing after self-driving vehicle kills pedestrian in Arizona https://www.cp24.com/world/uber-halts-testing-after-self-driving-vehicle-kills-pedestrian-in-arizona-1.3849549<U+00A0><U+0085>pic.twitter.com/tiTSZbU7BU",1
"112","CPI_Results","Self-Driving Cars Are a Non-Starter for Most Americans http://bit.ly/2FXHEJF<U+00A0> #Automotive #AutoMarketing #NADASHOW #SelfDrivingCars #selfdrivinguber #AutonomousVehicles #autonomousdriving #Mindset #NADA2018 #FixedOps #AutoFinance #Technology #AutoTech #Business #AI #ML #DL #Autopic.twitter.com/uZiPJarWHP",1
"113","cultofmac","Self-driving car kills pedestrian for first time https://cultm.ac/2pq63R1<U+00A0>pic.twitter.com/kxPm011k83",1
"114","CUTRIC_CRITUC","Join @ULIToronto and @DreamUltd as they discuss driverless transit with Dr. Josipa Petrunic on March 21st. https://toronto.uli.org/event/members-driverless-cities-speaker-series-presented-dream/<U+00A0><U+0085>",1
"115","cyantist","I know many are hot to demonize all things Uber, but try to use common sense and wait to see what<U+0092>s what. Yes I am an investor but I would say this for Cruise or Waymo as well. Autonomous vehicles in the long run will save many, many lives.",1
"116","DailyCaller","Driverless Uber Runs Over Woman In Arizona https://trib.al/UUhDJWE<U+00A0>pic.twitter.com/rJyHa4aZMJ",1
"117","daiwaka","A few things worth noting about crash of Uber's self-driving car in Tempe - Arizona has taken a hands-off approach to self-driving cars and -- as a result -- Uber, Waymo, Intel and others are testing their cars on the state's roads.",1
"118","daiwaka","An Uber autonomous vehicle crashed into a bicyclist in Tempe overnight. Uber isn't saying much at this point, but is pulling self-driving cars off the road in Tempe, Pittsburgh, SF and Toronto https://www.abc15.com/news/region-southeast-valley/tempe/tempe-police-investigating-self-driving-uber-car-involved-in-crash-overnight<U+00A0><U+0085>",1
"119","daiwaka","Called/emailed Waymo, Lyft and Cruise about whether this Uber accident has changed anything about their driverless efforts. Response: crickets. My sense is that they're hoping to ride this out with their head down. Industry leaders!",1
"120","daiwaka","Following up on my earlier tweet, Uber car was in autonomous mode with a human safety driver and it struck a woman (not a bicyclist) who walked into street. She has died. We think this is the first pedestrian killed by an autonomous vehicle. Uber is cooperating. Story coming",1
"121","daiwaka","Wow - police chief wouldn't rule out possibility that safety driver in Uber self-driving car could be charged -- even as she said it doesn't seem like Uber is at fault. https://twitter.com/sfchronicle/status/975874292335312896<U+00A0><U+0085>",1
"122","danahull","365 autonomous vehicles are permitted to test in California, which requires reports on every accident. In Arizona, number of vehicles on road is over 600.",1
"123","danieljpeter","<U+00A0>Driverless busses are now on the public streets in San Ramon, CA. pic.twitter.com/WgLjTzwfXT",1
"124","daringfireball","Uber Halts Testing Self-Driving Cars After Arizona Pedestrian Is Killed: https://daringfireball.net/linked/2018/03/19/uber-arizona<U+00A0><U+0085>",1
"125","DavidEBurke","A self-driving Uber killed a woman in Arizona. Not only should we consider the safety of self-driving cars, but also the cost in lost jobs as well. Just because a technology is new doesn't mean it's good for us as a whole.",1
"126","davidjoachim","Self-driving Uber car kills pedestrian in Arizona https://www.abc15.com/news/arizona-police-investigating-self-driving-uber-car-involved-in-crash-overnight<U+00A0><U+0085>",1
"127","Dazed","A self-driving Uber car has killed someone: http://www.dazeddigital.com/life-culture/article/39429/1/a-self-driving-uber-car-has-killed-someone<U+00A0><U+0085>pic.twitter.com/rn108jrwRB",1
"128","dbontrager4","We<U+0092>ve got self driving cars and people have micro chips implanted in their hands, but you<U+0092>re telling me we can<U+0092>t fix the lag between news anchors talking to each other? Someone fix this",1
"129","DigitalTrends","Autonomous @Uber hits and kills Arizona woman, company halts self-driving fleet http://bit.ly/2G5LROL<U+00A0>",1
"130","distractionadv","Self-driving cars are much farther away from reality then people would like to think... this is why we must continue to advocate for ending distracted driving with solutions available now!! https://www.nytimes.com/2018/03/19/technology/uber-driverless-fatality.html<U+00A0><U+0085>",1
"131","DouthatNYT","The self-driving car culture wars might make most of today's cultural battles look like skirmishes.",1
"132","Doyle_liam","Good timing, uber have just killed someone with their self driving cars",1
"133","DPRK_News","Ministry of Transport bans self-driving cars.",1
"134","dr_pete","I believe self-driving cars are coming, sooner or later, but Uber has been flaunting regulations and pushing forward recklessly for their own benefit. They're not tech-forward, they're profit-forward, and their careless mistakes may set back the entire industry years.",1
"135","drfeifei","A fatal self-driving car accident, and a call by @Stanford scholars on considering ethical challenges in ML & healthcare. This is what #AI is: it<U+0092>s deeply impactful to human lives; and it takes all of us to work on it to make it safe, fair and benevolent.pic.twitter.com/S6GhReBoNx",1
"136","EdanClay","Wait, who the hell thought self-driving #Uber cars were a good idea?https://twitter.com/NPR/status/975786364892602368<U+00A0><U+0085>",1
"137","edbott","The terrible driverless car accident in AZ would be easier to process if it were with any other company. Uber has a long, consistent record of ignoring regulations and engaging in reckless behavior, which makes it difficult to trust them.",1
"138","ejenk","Guys, guys, stop fighting about whether self-driving cars are more or less dangerous than human-driven cars. We can ban *both*!",1
"139","ElectrekCo","Uber self-driving prototype involved in a fatal crash investigated by<U+00A0>police https://wp.me/p3P83g-gBW<U+00A0>pic.twitter.com/vJS5TiStR7",1
"140","elizabeth_joh","First death attributable to an autonomous vehicle. The hypothetical about legal liability and AI has just happened. https://twitter.com/daiwaka/status/975771533745336320<U+00A0><U+0085>",1
"141","elizabeth_joh","The Uber fatality shows us 1) the real concern isn't a future super intelligent AI takeover; but 2) we're already swimming in AI right now; 3) when combined with physical capacity (robotics), you see mistakes, hacks, etc. Death by autonomous car is an example people feel acutely.",1
"142","engadget","Uber stops all self-driving car tests after fatal accident http://engt.co/2Iz94au<U+00A0>",1
"143","erichorvitz","Self-driving Uber car kills pedestrian http://nyti.ms/2GHY7mG<U+00A0> More work needed on safety-critical AI & best practices on testing/use of AI in the open world (see CMU/OSTP talk http://bit.ly/2FSvkud<U+00A0>) @PartnershipAI @TheOfficialACM @RealAAAI @ACLU @USDOT @NHTSAgov @MSFTResearch",1
"144","Evict_Twit_ter","If you see one of @Uber self driving cars, set it on fire before it kills you.",1
"145","fietsprofessor","'The personalized cage of self-driving cars is tempting at first, it might be dystopian when it materializes as dominant means of mobility. Being underway is a fundamental part of the fabric of cities/societies' ~ https://authorservices.taylorandfrancis.com/research-that-gives-a-voice-to-practitioners-and-activists/<U+00A0><U+0085>pic.twitter.com/RAfQK0lhRH",1
"146","filippie509","So we have the first #AutonomousCars fatality. After maybe 8mln total miles driven by all the prototypes. This roughly agrees with my earlier estimate (https://blog.piekniewski.info/2018/02/09/a-v-safety-2018-update/<U+00A0><U+0085>) that these prototypes are at least 10x more dangerous than humans.",1
"147","FinancialTimes","A pedestrian has been killed by one of Uber's self-driving cars and the company has pulled all of its autonomous cars off the road in response http://on.ft.com/2IEa4dK<U+00A0>pic.twitter.com/7N24vrHAJr",1
